LM Description,Part#,LM Revision,Qty Per Car,U/M,L/T Wks,Make,System Group,ABC by System,ABC % by System,ABC  by Part,ABC Running $'s by Part,%total $ by part,LM/Prep,Supplier #1,Description Supplier #1,P/N Supp#1,U/M,MOQ #1,Supplier #2,Description Supplier #2,P/N Supp#2,MOQ #2,L/T#2,Supplier #3,Description Supplier #3,P/N Supp#3,MOQ #3,Specifications,Weight (lbs.),X weight
Center Section,7901-02-01,A,1.00,EA,12.0,Romarine,Body,A,20%,A,"$14,969",23%,,Confidential Local Motors,Center Section,7901-02-01,,1,,,,,,,,,,,,
Nose Cone Upper Lip ,7901-02-02,A,1.00,EA,12.0,Romarine,Body,A,20%,A,"$64,202",100%,,Confidential Local Motors,Nose Cone Upper Lip ,7901-02-02,,,,,,,,,,,,,,
LH Front Quarter Panel,7901-02-03,A,1.00,EA,12.0,Romarine,Body,A,20%,A,"$64,202",100%,,Confidential Local Motors,LH Front Quarter Panel,7901-02-03,,,,,,,,,,,,,,
RH Front Quarter Panel,7901-02-04,A,1.00,EA,12.0,Romarine,Body,A,20%,A,"$64,202",100%,,Confidential Local Motors,RH Front Quarter Panel,7901-02-04,,,,,,,,,,,,,,
Hood,7901-02-05,A,1.00,EA,12.0,Romarine,Body,A,20%,A,"$64,202",100%,,Confidential Local Motors,Hood ,7901-02-05,,,,,,,,,,,,,,
LH Door ,7901-02-07,A,1.00,EA,12.0,Romarine,Body,A,20%,A,"$64,202",100%,,Confidential Local Motors,LH Door ,7901-02-07,,,,,,,,,,,,,,
RH Door ,7901-02-09,A,1.00,EA,12.0,Romarine,Body,A,20%,A,"$64,202",100%,,Confidential Local Motors,RH Door ,7901-02-09,,,,,,,,,,,,,,
Trunk ,7901-02-11,A,1.00,EA,12.0,Romarine,Body,A,20%,A,"$64,202",100%,,Confidential Local Motors,Trunk ,7901-02-11,,,,,,,,,,,,,,
LH Door Front Closeout Panel,7901-02-131,A,1.00,EA,12.0,Romarine,Body,A,20%,A,"$64,202",100%,,Confidential Local Motors,LH Door Front Closeout Panel,7901-02-131,,,,,,,,,,,,,,
RH Door Front Closeout Panel,7901-02-133,A,1.00,EA,12.0,Romarine,Body,A,20%,A,"$64,202",100%,,Confidential Local Motors,RH Door Front Closeout Panel,7901-02-133,,,,,,,,,,,,,,
