LM Description,Part#,LM Revision,Qty Per Car,U/M,L/T Wks,Make,System Group,ABC by System,ABC % by System,ABC  by Part,ABC Running $'s by Part,%total $ by part,LM/Prep,Supplier #1,Description Supplier #1,P/N Supp#1,U/M,MOQ #1,Supplier #2,Description Supplier #2,P/N Supp#2,MOQ #2,L/T#2,Supplier #3,Description Supplier #3,P/N Supp#3,MOQ #3,Specifications,Weight (lbs.),X weight
Plexus Mixing Gun,301141,A,,EA,,,Facilities,C,0%,,"$64,202",100%,,Composites One LLC,PLE 30045 380ML Manual Gun 10:1,,,,,,,,,,,,,,,
"Small Black Hopper Bin, 19.25""Long",HH19110700,A,,EA,,,Facilities,,,,,,,Edge Manufacturing,"Heavy Duty Industrial Small Hopper Box 19.25""Lx11""Wx6.75""H",,,,,,,,,,,,,,,
"Large Black Hopper Bin, 23.5""Long",HH24220900,A,,EA,,,Facilities,,,,,,,Edge Manufacturing,"Heavy Duty Industrial Large Hopper Box 23.5""Lx11""Wx9""H",,,,,,,,,,,,,,,
10-24 Nut Drill Conversion Kit,28616,A,,EA,2.0,,Facilities,C,0%,,"$64,202",100%,,Lawson Products,CONVERSION KIT FOR NUTDRILL 10-24 THREAD MANDREL AND NOSEPIECE ,28616,EA,,,,,,,,,,,,,
"1/4""-20 Nut Drill Conversion Kit",28618,A,,EA,2.0,,Facilities,C,0%,,"$64,202",100%,,Lawson Products,"1/4""-20 Nut Drill Conversion Kit",28618,EA,,,,,,,,,,,,,
"5/16""-18 Nut Drill Conversion Kit",28619,A,,EA,2.0,,Facilities,C,0%,,"$64,202",100%,,Lawson Products,"5/16""-18 Nut Drill Conversion Kit",28619,EA,,,,,,,,,,,,,
"Edge Trim, (production bin divider trim)",8451A55,A,,FT,,,Facilities,C,0%,,"$64,202",100%,,McMaster-Carr,"Self-gripping Vinyl Edge Trim W/ Metal Core 1/64""-3/64"" Opening, 29/64"" Height, Black",8451A55,FT,,,,,,,,,,,,,
Devcon Epoxy Gun,74695A71,A,,EA,,,Facilities,C,0%,,"$64,202",100%,,McMaster-Carr,"Dispensing Gun for 1:1, 2; 1 toml Cartridge",74695A71,EA,,,,,,,,,,,,,
"Screw Driver Set, (door lock cylinder modifications)",8550A62,A,,Set,,,Facilities,C,0%,,"$64,202",100%,,McMaster-Carr,"Mini Magnetic Metal-handle Screwdriver Set 7-pc, Precision: Handle With 6 Slotted Blades",8550A62,Set,,,,,,,,,,,,,
Rivenut Hand Installation Tool,95585A600,A,,EA,,,Facilities,C,0%,,"$64,202",100%,,McMaster-Carr,"Plier-style Rivet Nut Tool Includes 8-32, 10-24, 10-32 Mandrels/nosepieces",95585A600,EA,,,,,,,,,,,,,
"Rivenut Hand Tool 1/4""-20 adapter",95585A650,A,,Set,,,Facilities,C,0%,,"$64,202",100%,,McMaster-Carr,"1/4""-20 Mandrel & Nosepiece For 95585a600 Plier-style Rivet Nut Tool",95585A650,Set,,,,,,,,,,,,,
"Rivenut Hand Tool 5/16""-18 Adapter",95585A660,A,,EA,,,Facilities,C,0%,,"$64,202",100%,,McMaster-Carr,"5/16""-18 Mandrel For 95585a600 Plier-style Rivet Nut Tool",95585A660,EA,,,,,,,,,,,,,
"Rivenut Large Hand Tool 1/4""-20 Adapter",95603A900,A,,Set,,,Facilities,C,0%,,"$64,202",100%,,McMaster-Carr,"1/4""-20 Mandrel & Nosepiece Set For 95603a77 Lever-style Rivet Nut Tool",95603A900,Set,,,,,,,,,,,,,
"Rivenut Large Hand Tool 5/16""-18 Adapter",95603A910,A,,Set,,,Facilities,C,0%,,"$64,202",100%,,McMaster-Carr,"5/16""-18 Mandrel & Nosepiece Set For 95603a77 Lever-style Rivet Nut Tool",95603A910,Set,,,,,,,,,,,,,
"E-clip Tool, (door lock cylinder matching)",93821a217,A,,,,,Facilities,C,0%,,"$64,202",100%,,McMaster-Carr,,93821a217,,,,,,,,,,,,,,
M6x1mm Thread Repair Die,2573A72,A,,EA,,,Facilities,C,0%,,"$64,202",100%,,McMaster-Carr,"Thread Repair Hex Dies, Right Hand, M6x1mm, 19/32"" Width Across Flats",2573A72,EA,,,,,,,,,,,,,
"Thread Tap, 3/8""-24 RH",,A,,,,,Facilities,C,0%,,"$64,202",100%,,McMaster-Carr,,,,,,,,,,,,,,,,
"Thread Tap, 3/8""-24 LH",,A,,,,,Facilities,C,0%,,"$64,202",100%,,McMaster-Carr,,,,,,,,,,,,,,,,
"Aluminum 135deg Counter Sinks, (roof strap and window extrusion countersinking)",,A,,,,,Facilities,C,0%,,"$64,202",100%,,McMaster-Carr,,,,,,,,,,,,,,,,
Cold Cut Saw Coolant,11365K61,A,,,,,Facilities,C,0%,,"$64,202",100%,,McMaster-Carr,,11365K61,,,,,,,,,,,,,,
Packard Barrel Crimper,8913440,A,0.00,EA,2.0,,Facilities,C,0%,,"$64,202",100%,,Terminal Supply,PACKARD OPEN BARREL CRIMPERUSE W/ 56 & 59 SERIES ONE STEP,,,,,,,,,,,,,,,
Hand held torch,GB-2001,A,0.00,EA,,,Facilities,C,0%,,"$64,202",100%,,Terminal Supply,"HAND HELD TORCH ELECTRONIC IGNITER/REFILLABLE W/""CAN-B""",,,,,,,,,,,,,,,
"Caulking Gun, Ratcheting",CR200,A,0.00,EA,,,Facilities,C,0%,,"$64,202",100%,,Terminal Supply,HEAVY DUTY CARTRIDGE GUN RATCHET DRIVE,,,,,,,,,,,,,,,
Tape Gun,H-465,A,,EA,,,Facilities,C,0%,,"$64,202",100%,,Uline,"3"" HEAVY DUTY TAPE DISPENSER",,,,,,,,,,,,,,,
Crimp Tool 33012 Series 16-14GA,596,A,0.00,EA,,,Facilities,C,0%,,"$64,202",100%,,Waytek Inc,Crimp Tool 33012 Series 16-14GA 63811-5900,596,EA,,,,,,,,,,,,,
Crimp Tool 33000 Series 16-14GA,598,A,0.00,EA,,,Facilities,C,0%,,"$64,202",100%,,Waytek Inc,Crimp Tool 33000 Series 16-14GA 63811-2400,598,EA,,,,,,,,,,,,,
MX150L Extraction Tool,488,A,0.00,EA,,,Facilities,C,0%,,"$64,202",100%,,Waytek Inc,MX150L Extraction Tool 63818-1500,488,EA,,,,,,,,,,,,,
"SS Flange Button Bolt, 1/4""-20x3/4""",97654A264,A,15.00,EA,3.0,,Fastener,C,1%,C,"$61,651",96%,,Arizona Industrial Hardware,"SS Flange Button Bolt, 1/4""-20x3/4""",25C75KBHS/FLAN,EA,1000,,,,,,,,,,,,
"SS Flange Button Bolt, 1/4""-20x1""",97654A265,A,15.00,EA,3.0,,Fastener,C,1%,C,"$61,610",96%,,Arizona Industrial Hardware,"18-8 Ss Flange Button Head Socket Cap Screw 1/4""-20 Thread, 1"" Length",25C100KBHS/FLAN,EA,1000,,,,,,,,,,,,
Eye Bolt  (5 pt  Harness front seats)  ,A40301W ,A,10.00,ea,,,Fastener,,,C,,,,Boxertools.com,Eye Bolt  (5 pt  Harness front seats)  ,A40301W ,,1,Overseas,,,,,,,,,,,
"Washer, Steel, zinc, 1/4""IDx1""OD",91090A108,A,30.00,EA,,,Fastener,C,1%,C,"$64,130",100%,,Copper State Bolt,"Zinc-plated Steel Large-diameter Flat Washer 1/4"" Screw Size, 1"" Od, .04""-.06"" Thick",91090A108,EA,,,,,,,,,,,,,
"1/4-20 x 1"" SS  Socket Head  Bolt",15SHC3-0250100,A,6.00,EA,,,Fastener,,,,,,,Copper State Bolt,"1/4-20 x 1"" SS  Socket Head  Bolt",15SHC3-0250100,EA,100,,,,,,,,,,,,
"Thread Tapping Screw, Phillips, SS, 10-16 x3/4"", (fuel door)",148690,A,12.00,EA,,,Fastener,C,1%,C,"$64,186",100%,,Fastenal,"18-8 Ss Pan Head Phil Self-drilling Screw 10-16 Thread, 3/4"" L, Hardened Drill Point #3",148690,EA,,,,,,,,,,,,,
M6-1 x 40 Flat Socket Head   (Door Latch),1139958,A,6.00,EA,2.0,,Fastener,,,,,,,Fastenal,M6-1 x 40  FHSCS,1139958,EA,100,,,,,,,,,,,,
"3/8""-16  x 1"" Hex Bolt Grade 8  Yellow Zinc (Added for Bump Stop rear, Clearance issue on Chassis for Carriage bolt)",115105,A,4.00,EA,1.0,,Fastener,,,,,,,Fastenal,"3/8""-16  x 1"" Hex Bolt Grade 8  Yellow Zinc",115105,EA,20,,,,,,,,,,,,
"Ring Clamps, 108-114mm Dia., (air intake)",T-518,A,1.00,EA,,,Fastener,,,,,,,Favor Union Limited,T-Bolt Clamp 108-114mm,T-518,,,,,,,,,,,,,,
"14.8mm 360deg Clamp, (for 3/8 Nylon FI QC)",2983,A,4.00,EA,,FMSI,Fastener,B,3%,C,"$63,961",100%,,FMSI Automotive Hardware,"14.8mm 360deg Clamp, (for 3/8 Nylon FI QC)",2983,,1,,,,,,,,,,,,
"M10x1.25x30mm, Flange Bolt  (Think obsolete check with Pisani)",55608,A,6.00,EA,2.0,,Fastener,C,1%,C,"$63,598",99%,,Lawson Products,"M10x1.25x30mm, Flange Bolt",55608,EA,10,,,,,,,,,,,,
"9/16"" SAE Washer ( On steering column)",88440,A,4.00,EA,2.0,,Fastener,C,1%,C,"$63,891",100%,,Lawson Products,"9/16"" SAE Washer",88440,EA,,,,,,,,,,,,,
"5/16""ID x 1.25""OD Fender Washer",541,,8.00,EA,2.0,,Fastener,C,1%,C,"$64,161",100%,,Lawson Products,"5/16""ID x 1.25""OD Fender Washer",541,EA,,,,,,,,,,,,,
"3/4""-16 Flange Nut, Mechanical",85825,A,2.00,EA,2.0,,Fastener,C,1%,C,"$63,619",99%,,Lawson Products,"3/4""-16 Flange Nut, Mechanical",85825,EA,,,,,,,,,,,,,
"1/2""-20x4"" Flange Bolt    (Front uppers & lowers)",51968,A,8.00,EA,2.0,,Fastener,C,1%,C,"$63,092",98%,,Lawson Products,"1/2""-20x4"" Flange Bolt",51968,EA,,Lawson Products,"1/2""-20x4"" Flange Bolt",51968,,,,,,,,,
"5/8""-18 Flange Nut, Mechanical",85823,A,4.00,EA,2.0,,Fastener,C,1%,C,"$63,441",99%,,Lawson Products,"5/8""-18 Flange Nut, Mechanical",85823,EA,,,,,,,,,,,,,
"5/8""-18x4.5"" Flange Bolt",51976,A,4.00,EA,2.0,,Fastener,C,1%,C,"$62,109",97%,,Lawson Products,"5/8""-18x4.5"" Flange Bolt",51976,EA,,,,,,,,,,,,,
"1/2""-20x3.5"" Flange Bolt",51967,A,2.00,EA,2.0,,Fastener,C,1%,C,"$63,019",98%,,Lawson Products,"1/2""-20x3.5"" Flange Bolt",51967,EA,,,,,,,,,,,,,
"3/8""-16x3/4"" Hex Bolt  (??? Controller Valve Hold Down?? )",FA65031,A,2.00,EA,2.0,,Fastener,C,1%,C,"$64,191",100%,,Lawson Products,"3/8""-16x3/4"" Hex Bolt",FA65031,EA,,,,,,,,,,,,,
M8 Serrated Locknut,28700,,8.00,EA,2.0,,Fastener,C,1%,C,"$63,903",100%,,Lawson Products,M8 Serrated Locknut,28700,EA,,,,,,,,,,,,,
"3/8""-16x2"" Flange Bolt  (Fuel tank straps & trunk tie downs)",51943,A,6.00,EA,2.0,,Fastener,C,1%,C,"$63,971",100%,,Lawson Products,"3/8""-16x2"" Flange Bolt",51943,EA,25,,,,,,,,,,,,
M14-1.5x30mm 10.9 Property Class Socket Head (Gen 2 Vr1 upright to hub),11396-01702,A,6.00,EA,8.0,,Fastener,,,C,,,,Lawson Products,M14-1.5x30mm 10.9 Property Class Hex Bolt,tbd,EA,,,,,,,,,,,,,
"10-24 Threaded Stud, 2"" Length, (Mirror Hold on)",95412A889,A,6.00,EA,1.0,,Fastener,,,,,,,McMaster-Carr,"18-8 Stainless Steel Fully Threaded Stud 10-24 Thread, 2"" Length, packs of 10",95412A889,EA,10,,,,,,,,,,,,
"Grommet 5/16"" Idc 5/8"" OD (Rear tail light close out)",9600K31,A,2.00,EA,,,Fastener,,,,,,,McMaster-Carr,"Push-in Grommet 5/16"" ID, 5/8"" OD, 1/16"" Thk for 1/2"" Dia Panel Hole",9600K31,EA,100,,,,,,,,,,,,
"Flat Socket Head Bolt, 1/4""-20x1.5"", (Door handles & roof strap as needed)",92210A546,A,2.00,EA,1.0,,Fastener,C,,C,,,,McMaster-Carr,"18-8 Stainless Steel Flat Head Sckt Cap Screw 1/4""-20 Thread, 1-1/2"" Length",92210A546,EA,25,,,,,,,,,,,,
"Flat Socket Head Bolt, 1/4""-20x1.75"", (Door handles & roof strap as needed)",92210A548,A,5.00,EA,1.0,,Fastener,C,,C,,,,McMaster-Carr,"18-8 Stainless Steel Flat Head Sckt Cap Screw 1/4""-20 Thread, 1-3/4"" Length",92210A548,EA,25,,,,,,,,,,,,
"SS Button Bolt, 10-24x1/2"", (trunk hinge limiting)",97654A142,A,2.00,EA,,,Fastener,B,2%,C,"$62,846",98%,,McMaster-Carr,"18-8 Ss Flange Button Head Socket Cap Screw 10-24 Thread, 1/2"" Length",97654A142,EA,,,,,,,,,,,,,
"SS Button Bolt, 10-24x3/4"" ",92949A245,A,30.00,EA,,,Fastener,C,1%,C,"$64,072",100%,,McMaster-Carr,"SS Button Bolt, 10-24x3/4"" ",92949A245,EA,,,,,,,,,,,,,
"SS Button Bolt, 10-24x1-1/2""",92949A251,A,4.00,EA,,,Fastener,C,1%,C,"$63,723",99%,,McMaster-Carr,"SS Button Bolt, 10-24x1-1/2""",92949A251,EA,,,,,,,,,,,,,
"Washer, SS, 1/4""IDx1/2OD",90945A761,A,20.00,EA,,,Fastener,C,1%,C,"$63,843",99%,,McMaster-Carr,"300 Series Ss Nas 620 Flat Washer 1/4"" Sz, .47""od, .06""-.07""thk, Dash No. C416",90945A761,EA,,,,,,,,,,,,,
"Lock nut, 7/16""-20, Nylon, (seat belts and steering rack mount)",97135A245,A,16.00,EA,,,Fastener,C,1%,C,"$63,922",100%,,McMaster-Carr,"Grade 8 Steel Nylon-insert Hex Locknut Znc-yellow Pltd, 7/16""-20 Thrd Sz, 5/8""w, 29/64""h",97135A245,EA,,,,,,,,,,,,,
"Lock nut, 1/2""-20, Nylon,  MIKE LOOK AT REMOVE (RUCA inner pivot, rear axle support bracketry)",97135A255,,10.00,EA,,,Fastener,C,1%,C,"$63,819",99%,,McMaster-Carr,"Grade 8 Steel Nylon-insert Hex Locknut Znc-yellow Pltd, 1/2""-20 Thrd Sz, 3/4""w, 19/32""h",97135A255,EA,,,,,,,,,,,,,
"Nut, M8, Flange, Steel, Nylon,  Zinc",92461A400,,10.00,EA,,,Fastener,C,1%,C,"$64,155",100%,,McMaster-Carr,"Class 8 Steel Nylon-insert Hex Flange Locknutznc-pltd, M8 Size, 1.25mm Pitch, 13mm W, 11.1mm H",92461A400,EA,,,,,,,,,,,,,
"Phillips Screw, 8-32x1/2"", (Switch Protector Mountin & Brake Line Clamps front)",90403A194,A,8.00,EA,,,Fastener,A,7%,C,"$64,189",100%,,McMaster-Carr,"Zinc-Plated Steel Pan Head Phil Machine Screw Internal Washer, 8-32 Thread, 1/2"" Length, packs of 100",90403A194,EA,,,,,,,,,,,,,
"Hex Bolt, 1/4""-20x2.75""",91247A553,A,4.00,EA,,,Fastener,C,1%,C,"$64,177",100%,,McMaster-Carr,"Grade 5 Zinc-plated Steel Hex Head Cap Screw 1/4""-20 Thread, 2-3/4"" Length",91247A553,EA,,,,,,,,,,,,,
"Hex Bolt, 7/16""-20x1-1/4""",92620A697,A,12.00,EA,,,Fastener,C,1%,C,"$64,040",100%,,McMaster-Carr,"Grade 8 Alloy Steel Hex Head Cap Screw Zinc Yellow Pltd,7/16""-20 Thrd, 1-1/4""l,fully Thrd",92620A697,EA,,,,,,,,,,,,,
"Hex Bolt, 1/4""-20x2""    (mount computer)",92865A549,A,4.00,EA,,,Fastener,C,1%,C,"$64,168",100%,,McMaster-Carr,"Grade 5 Zinc-plated Steel Hex Head Cap Screw 1/4""-20 Thread, 2"" Long, Fully Threaded",92865A549,EA,,,,,,,,,,,,,
"MAKE SMALL BIN    U-nut, 10-24        ",94808A152,A,,EA,,,Fastener,C,1%,C,"$61,548",96%,,McMaster-Carr,"Standard No-slip Clip-on Nut 10-24 Sz,.025""-.081"" Panel,.312"" Hole Ctr To Edge",94808A152,EA,,,,,,,,,,,,,
"MAKE SMALL BIN   Shim, 3/8""IDx5/8""ODx.020""",97022A448,A,,EA,,,Fastener,C,1%,,"$64,202",100%,,McMaster-Carr,"Type 316 Stainless Steel Shim .020"" Thick, 3/8"" Id, 5/8"" Od",97022A448,EA,,,,,,,,,,,,,
"1/16"" Panel Rounded 1/4"" Edge Trim",8507K523,A,16.00,FT,,,Fastener,C,1%,C,"$63,554",99%,,McMaster-Carr,"Neoprene Rubber Edge Trim 1/16"" Opening, 1/4"" Inside Depth, 50' Length",8507K523,FT,,,,,,,,,,,,,
"1/8"" Panel Fully Rounded 15/32"" Edge Trim",8510K161,A,6.00,FT,,,Fastener,C,1%,C,"$64,080",100%,,McMaster-Carr,"Sbr Rubber Edge Trim 1/8"" Opening, 1/4"" Inside Depth",8510K161,FT,,,,,,,,,,,,,
"Grommet, 3/4""ID, (trunk wiring routing)",9307K82,A,4.00,EA,,,Fastener,C,1%,C,"$64,116",100%,,McMaster-Carr,"Push-in Flexible Rubber Grommet Ms 35489-49, An 931-a12-17, 3/4"" Id, 1-3/8"" Od",9307K82,EA,,,,,,,,,,,,,
"MAKE SMALL BIN  Grommet, 5/16"" ID,  (Was used on trunk drain, Now misc wire routing.",9307K17,A,4.00,EA,,,Fastener,C,$0.01,C,64173,0.9995575448,,McMaster-Carr,"Push-in Flexible Rubber Grommet MS 35489-38, AN 931-A5-9, 5/16"" ID, 13/16"" OD",9307K17,EA,,,,,,,,,,,,,
"1"" Plastic Plug, (floor plugs)",9750K26,A,7.00,EA,,,Fastener,C,1%,C,"$64,199",100%,,McMaster-Carr,"Push-in Flexible Round Plastic Plug Fits 1"" Id, 1-3/8"" Head Diameter",9750K26,EA,,,,,,,,,,,,,
"Shim, 1/2""IDx3/4""OD, (misc shock pivot and bushing repair)",98126A739,A,,EA,,,Fastener,C,1%,,"$64,202",100%,,McMaster-Carr,"18-8 Stainless Steel Shim .062"" Thick, 1/2"" Id, 3/4"" Od",98126A739,EA,,,,,,,,,,,,,
"Plastic Plug, 1/2"", (misc repair, holes in fiber glass, etc.)",9750k22,A,,EA,,,Fastener,C,1%,,"$64,202",100%,,McMaster-Carr,"Push-in Flexible Round Plastic Plug Fits 1/2"" ID, 7/8"" Head Diameter",9750k22,EA,,,,,,,,,,,,,
"O-rings, (Power steering pump regulator fitting Replacement)",1201T49,A,,EA,,,Fastener,C,1%,,"$64,202",100%,,McMaster-Carr,"Mil-spec Viton(r) Fluoroelastomer O-ring, As568a Dash Number 113",1201T49,EA,,,,,,,,,,,,,
"Plastic Pipe, 3/4""ODx1/2""ID, Black, (stock to make hood safety struts)",5066K22,A,0.80,FT,,,Fastener,C,1%,,"$64,202",100%,,McMaster-Carr,"UV-Resistant Thk-Wall Blk PVC Unthreaded Pipe 3/8"" Pipe Size X 8' Length, Schedule 80",5066K22,FT,,,,,,,,,,,,,
"1/8"" Rivet Backing Washer",90183A212,A,20.00,EA,,,Fastener,C,1%,C,"$64,198",100%,,McMaster-Carr,"1/8"" Rivet Backing Washer",90183A212,EA,500,,,,,,,,,,,,
"Nut, M6, Flange, Steel, Nylon, Zinc (post on fuse box,  ",92461A300,A,15.00,EA,1,,Fastener,C,$0.01,C,64199,0.9999487411,,McMaster-Carr,"Nut, M6, Flange, Steel, Nylon, Zinc",92461A300,EA,100,,,,,,,,,,,,
"Low Socket Head Bolt, M6, Black, (Mount AC Block to Compressor)",93070A149,A,2.00,EA,1.0,,Fastener,C,1%,C,"$64,180",100%,,McMaster-Carr,"Metric Low Head Socket Cap Screw Class 8.8 Steel, M6 Size, 25 mm Length, 1 mm Pitch",93070A149,EA,50,,,,,,,,,,,,
"Uni-ball Retainer, snap ring type",98409A247,A,2.00,EA,,,Fastener,C,1%,C,"$63,478",99%,,McMaster-Carr,"Zinc/yellow Pltd Stl Internal Retaining Ring For 2-1/8"" Bore Diameter",98409A247,EA,5,,,,,,,,,,,,
"License Plat Nut; 18-8 Stainless Steel Acorn Nut 1/4""-20 Thread Size, 7/16"" Width, 15/32"" Height,",91855A350,A,2.00,EA,1.0,,Fastener,,,C,,,prep,McMaster-Carr,,91855A350,,,,,,,,,,,,,,
"License Plate Stud; Press-in Captive Stud 18-8 Stainless Steel, 1/4""-20 Thread, 1/2"" Length,",93580A625,A,2.00,EA,1.0,,Fastener,,,C,,,prep,McMaster-Carr,,93580A625,,,,,,,,,,,,,,
"Spacer, Nylon, 1/4""IDx1/2""ODx1/4""  (Headlight spacer)",94639A569,A,2.00,EA,,,Fastener,C,1%,C,"$64,201",100%,,McMaster-Carr,"Nylon Unthreaded Round Spacer 1/2"" Od, 1/4"" Length, 1/4"" Screw Size",94639A569,EA,100,,,,,,,,,,,,
"Rivet, 3/16"" Dia,.376""-.5"" Material Thk, Black (RearFloor/Tub overlap)",97526A501,A,10.00,EA,,,Fastener,,,,,,,McMaster-Carr,"Blind Rivet Wide Domed, 3/16"" Dia,.376""-.5"" Material Thk, Black",97526A501,EA,100,,,,,,,,,,,,
"5/16""-18 Hex Head Bolt Grade 5  (Jack Hold down assy)",91247a593,A,1.00,EA,2.0,,Fastener,,,,,,,McMaster-Carr,"Grade 5 Zinc-Plated Steel Hex Head Cap Screw 5/16""-18 Thread, 2-1/2"" Length",91247a593,EA,50,,,,,,,,,,,,
10-24 Perforated Base Stud ,SS-M1-T38-10-24x0.750UNC,,2.00,EA,,,Fastener,C,1%,,"$64,202",100%,,Rotaloc Int'l,SS-M1-T38-10-24x0.750UNC,,EA,,,,,,,,,,,,,
"Thread Tapping Screw, Phillips, SS, 8-18 x1/2""",0808APP188,A,10.00,EA,,,Fastener,C,1%,C,"$64,197",100%,,SG Supply,"18-8 Ss Pan Head Phil Self-drilling Screw 8-18 Thread, 1/2"" L, Hardened Drill Point",0808APP188,EA,600,,,,,,,,,,,,
"3/8""-16x1"" Carriage Bolt, Grade 8",B0006-3816x1,A,36.00,EA,2.0,,Fastener,C,1%,C,"$63,991",100%,,SG Supply,"3/8""-16x1"" Carraige Bolt, Grade 8, box of 825ea",3716C5,EA,1200,Aspen Fasteners,"3/8""-16x1"" Carraige Bolt, Grade 8, box of 825ea",B0006-3816x1,825,2.0,,,,,,,
"3/8""-16x1.75"" Carriage Bolt, Grade 8 (Seat Mounting.) (Shorten up length on next buy to 1.5"")",2728C8Y,A,8.00,EA,3.0,,Fastener,,,,,,,SG Supply,"3/8""-16x1.75"" Carriage Bolt, Grade 8",2728C8Y,EA,400,,,,,,,,,,,,
Push Type Retainers  (plastic connector for body panels & tubs ),1263PK,A,30.00,EA,2.0,,Fastener,,,C,,,,SG Supply,Push Type Retainers,1263PK,EA,,,,,,,,,,,,,
"Bolt, Button Socket Head, SS, 10-24 x3/8"", (dash assembly)",1173731,A,6.00,EA,,,Fastener,C,1%,C,"$64,071",100%,,SG Supply,"18-8 SS Button Socket Head Screw 10-24 Thread, 3/8"" L",1006CSB188,EA,1100,Fastenal,1173731,,,,,,,,,,
"Thread Tapping Screw, Hex, Stalgard, 10-16x3/4""",91324A450,A,25.00,EA,,,Fastener,C,1%,C,"$63,956",100%,,SG Supply,"Coated Steel Hex Washer Head Self-drill Screw10-16 Thread, 3/4"" Length, Drill Point #2",1012KSWC,EA,1500,McMaster Carr,91324A450,,,,,,,,,,
"3/8""-16 x 3"" Hex Bolt (Steering Rack& Bumper Mounting )",3748CH8O,A,8.00,EA,,,Fastener,,,,,,,SG Supply,"3/8""-20 x 3"" Hex Bolt",3748CH8O,EA,50,,,,,,,,,,,,
"1/2""-20 Flange Nut, Mechanical",85821,A,26.00,EA,2.0,,Fastener,C,1%,C,"$62,533",97%,,SG Supply,"1/2""-20 Flange Nut, Mechanical",51NOR,EA,800,Lawson Products,"1/2""-20 Flange Nut, Mechanical",85821,50,,,,,,,,
"1/4""-20 SS Locknut, Nylon",ST028-1420,A,50.00,EA,2.0,,Fastener,C,1%,C,"$63,435",99%,,SG Supply,"1/4""-20 SS Locknut, Nylon,",14NS188,EA,3000,Aspen Fasteners,"1/4""-20 SS Locknut, Nylon, box 1000ea",ST028-1420,,,,,,,,,
"3/8"" USS Washer",88447,A,18.00,EA,2.0,,Fastener,C,1%,C,"$64,026",100%,,SG Supply,"3/8"" USS Washer",37WUSSH,EA,500,Lawson Products,"3/8"" USS Washer",88447,,,,"3/8"" USS Washer",37WUSSH,,,,
"3/8""-16 Flange Locknut, Nylon, Grade 8",NU070-3816,A,54.00,EA,2.0,,Fastener,C,1%,C,"$63,736",99%,,SG Supply,"3/8""-16 Flange Locknut, Nylon, Grade 8, box of 600ea",37NSSF5,EA,1600,Aspen Fasteners,"3/8""-16 Flange Locknut, Nylon, Grade 8",NU070-3816,600,2.0,,,,,,,
"1/2""-20x3"" Flange Bolt",51966,A,14.00,EA,2.0,,Fastener,C,1%,C,"$63,072",98%,,SG Supply,"1/2""-20x3"" Flange Bolt",5148BF ,EA,160,Lawson Products,"1/2""-20x3"" Flange Bolt",51966,25,,,,,,,,
"1/2""-20 x 6.5"" Hex Heade Bolt Grade 8 Zinc",51104CH8O,A,2.00,EA,,,Fastener,,,,,,,SG Supply,"1/2""-20 x 6.5"" Hex Heade Bolt Grade 8 Zinc",51104CH8O,EA,20,,,,,,,,,,,,
"Thread Tapping Screw, Stalgard, 1/4""-14x3/4""",92685A600,A,6.00,EA,,,Fastener,C,1%,C,"$64,148",100%,,SG Supply,"Thread Tapping Screw, Stalgard, 1/4""-14x3/4""",1412KSWC,EA,500,McMaster-Carr,"Strip-resist Hex Washer Head Self-drill Screwwide Head,1/4""-14 Thrd,3/4""l, Drill Point #3",92685A600,50,,,,,,,,
"Rivet, 1/8"" Long, std. Head, steel, .188""-.25""grip",97519A415,A,25.00,EA,,,Fastener,C,1%,C,"$64,101",100%,,SG Supply,"Zinc-plated Steel Blind Rivet W/steel Mandrelwide Domed, 1/8"" Dia, .188""-.25"" Material Thk",SDS44,EA,1800,McMaster-Carr,"Zinc-plated Steel Blind Rivet W/steel Mandrelwide Domed, 1/8"" Dia, .188""-.25"" Material Thk",97519A415,250,,,,,,,,
"Rivet, 3/16 Long, std. head, aluminum, .251""-.375""grip",97447A055,A,20.00,EA,,,Fastener,C,1%,C,"$64,151",100%,,SG Supply,"Rivet, 3/16 Long, std. head, aluminum, .251""-.375""grip",ADA66,EA,1200,McMaster-Carr,"Aluminum Blind Rivet With Aluminum Mandrel Domed, 3/16"" Dia, .251""-.375"" Material Thickness",97447A055,,,,,,,,,
"Rivet, 3/16"" Large Head, steel, zinc, .376""-.5""grip",97519A075,A,20.00,EA,,,Fastener,C,1%,C,"$64,043",100%,,SG Supply,"Rivet, 3/16"" Large Head, steel, zinc, .376""-.5""grip",SDS68L,EA,1000,McMaster-Carr,"Zinc-plated Steel Blind Rivet W/steel Mandrelwide Domed, 3/16"" Dia, .376""-.5"" Material Thk",97519A075,1,,,,,,,,
"Rivet, 3/16"" Large Head, Black, .251""-.375""grip, (flooring, fender, and nose mounting)",97526A491,A,75.00,EA,,,Fastener,C,1%,C,"$62,870",98%,,SG Supply,Large flange rivet #66 Black,ADA66LB,EA,2000,McMaster-Carr,"Choose-a-color Blind Rivet Wide Domed,3/16""dia,.251""-.375"" Material Thk,black",97526A491,100,,,,,,,,
"3/16"" Rivet Backing Washer",90183A215,A,20.00,EA,,,Fastener,C,1%,C,"$64,176",100%,,SG Supply,"3/16"" Rivet Backing Washer",WRS-6,EA,1200,McMaster-Carr,"Blind Rivet Flat Washer Zinc-plated Steel, Round, For 3/16"" Dia, 3/8"" Od",90183A215,,,,,,,,,
